J2000	z_emission	z_absorption	delta_alpha	error_delta_alpha	extra_error_delta_alpha	dipole_delta_alpha	dipole_angle	sample	source	sigflag	imrotator	transitions
J012017+213346	1.49	1.3428	-12.9	9.49	9.49	-7.122348291725321	123.419	A	Keck	1	1	c n p q
J012227-042127	1.95	0.65741	71.23	46.08	46.08	-3.558337063129944	100.564	C	Keck	1	1	b c n o p q r
J015234+335033	2.43	2.1408	-54.18	21.6	27.755448113838842	-8.943815851914485	137.607	B1	Keck	2	0	d e f g h i j k l m s t u
J015734+744243	2.33	0.7455	-20.56	7.45	7.45	-10.758832262650994	157.767	C	Keck	1	0	b c n p q r
J020455+364917	2.49	1.4761	-6.58	12.16	12.16	-9.370245107636704	141.49	B1	Keck	1	1	c n o q r
J020455+364917	2.49	1.955	19.92	10.48	20.338025961238223	-9.370245107636704	141.49	B1	Keck	2	1	e h i l
J020455+364917	2.49	2.324	0.17	16.4	16.4	-9.370245107636704	141.49	B1	Keck	1	1	d e g h l
J020455+364917	2.49	2.4563	-58.53	25.97	25.97	-9.370245107636704	141.49	B1	Keck	1	1	d g l
J020455+364917	2.49	2.4628	5.76	17.29	24.550947028577127	-9.370245107636704	141.49	B1	Keck	2	1	g h i l t u
J020944+051714	4.19	3.6663	-5.99	35.03	35.03	-5.751311395815351	114.168	C	Keck	1	0	d g l
J021857+081727	2.99	1.768	0.46	12.35	12.35	-6.307544178707094	117.824	C	Keck	1	1	e f l n o p q r
J024008-230915	2.23	1.365	-2.22	5.23	5.23	-1.78209928200791	90.0124	C	Keck	1	0	d e g h l n o p
J024401-013402	4.04	2.0994	-8.13	26.21	26.21	-5.227069611004871	110.816	C	Keck	1	1	d n o p
J025518+004847	3.97	3.2534	-24.94	30.66	35.26812300080627	-5.720086288252785	113.966	B2	Keck	2	0	d g h l m s t
J030450-221157	1.41	1.0092	-1.93	10.09	10.09	-2.214101610091432	92.565	C	Keck	1	0	a b c n o p q r
J034943-381031	3.23	3.0247	-28.35	34.22	34.22	0.037615381301085556	79.1999	B1	Keck	1	0	g l
J042315-012033	0.915	0.63308	42.82	40.88	40.88	-6.149129335345709	116.771	A	Keck	1	1	a b c r
J045142-132032	3.09	1.2667	-12.68	14.62	14.62	-4.367807188817893	105.473	C	Keck	1	1	a b c n o p q
J045312-130546	2.25	1.1743	-30.33	10.93	10.93	-4.411179967214713	105.739	A	Keck	1	1	b n o p r
J045312-130546	2.25	1.2294	-14.72	8.18	8.18	-4.411179967214713	105.739	A	Keck	1	1	b c n p q r
J045312-130546	2.25	1.2324	9.81	27.57	27.57	-4.411179967214713	105.739	A	Keck	1	1	b c p
J045647+040052	1.34	0.85929	5.78	12.05	12.05	-7.044953662718074	122.873	A	Keck	1	1	a c n o p r q
J045647+040052	1.34	1.1534	-7.43	17.87	17.87	-7.044953662718074	122.873	A	Keck	1	1	b c n q r
J053007-250329	2.77	0.9439799999999999	7.58	23.37	23.37	-2.4408799777222514	93.9067	C	Keck	1	1	b c r
J053007-250329	2.77	2.1406	-8.65	8.67	19.46724942050109	-2.4408799777222514	93.9067	C	Keck	2	1	d g h i j k l n p s t u
J053007-250329	2.77	2.8114	9.19	8.63	19.44946785904437	-2.4408799777222514	93.9067	C	Keck	2	1	d e f g i j k l m s t u v w
J064204+675835	3.17	1.2938	-13.93	6.24	6.24	-11.290865898558762	168.667	C	Keck	1	1	b c p q r
J074521+473436	3.21	1.6111	-24.89	20.22	20.22	-10.581602986097122	155.146	B2	Keck	1	0	a b c n p q
J074521+473436	3.21	1.6112	-12.98	17.27	17.27	-10.581602986097122	155.146	C	Keck	1	0	a b c n p q
J074521+473436	3.21	3.0173	12.26	27.82	32.82921412400851	-10.581602986097122	155.146	B2	Keck	2	0	d e g h l m s t
J074521+473436	3.21	3.0173099999999997	8.22	21.96	21.96	-10.581602986097122	155.146	C	Keck	1	0	d g h l
J080117+521034	3.24	2.6021	-16.29	22.72	22.72	-10.663695502561309	156.326	C	Keck	1	0	d e f l
J080117+521034	3.24	2.8677	-18.78	39.77	39.77	-10.663695502561309	156.326	C	Keck	1	0	d g l
J082601-223027	0.91	0.91059	-3.91	6.09	6.09	-1.495029614249517	88.3165	A	Keck	1	1	b c n p q r
J083943+104321	2.7	2.4673	69.73	43.95	43.95	-6.301853680366202	117.786	B2	Keck	1	0	g l m
J084424+124548	2.55	1.0981	-35.7	12.2	12.2	-6.503221248303836	119.139	C	Keck	1	0	b n o p r
J084424+124548	2.55	1.1314	5.61	7.89	7.89	-6.503221248303836	119.139	C	Keck	1	0	a b c n p q r
J084424+124548	2.55	1.2189	-5.21	5.42	5.42	-6.503221248303836	119.139	C	Keck	1	0	a b c n o p q r v w
J084424+124548	2.55	2.3742	14.11	11.64	20.959353520564513	-6.503221248303836	119.139	B1	Keck	2	0	d e g h i j k n q r t u v w
J084424+124548	2.55	2.3742099999999997	22.65	38.27	42.05232217131416	-6.503221248303836	119.139	C	Keck	2	0	d g h i j t u v w
J084424+124548	2.55	2.4761	-46.64	19.73	26.326370809513413	-6.503221248303836	119.139	B1	Keck	2	0	d g h i j k l m t u
J093337+284532	3.42	3.2351	8.55	18.24	18.24	-7.675176274007774	127.427	C	Keck	1	0	d g l
J094253-110425	3.05	1.0598	-7.51	16.43	16.43	-2.0113731081095816	91.3668	C	Keck	1	0	a b c n p q r
J095500-013006	4.43	2.6238	21.41	73.58	73.58	-3.223210799979856	98.5565	B2	Keck	1	0	e f i
J095744+330820	4.25	4.1798	12.37	39.33	39.33	-7.768977593315345	128.128	B2	Keck	1	0	d g l
J095852+120245	3.31	2.3103	-22.45	64.39	64.39	-5.107138794409577	110.06	C	Keck	1	0	d e f l
J101155+294141	2.62	1.1117	-54.59	25.08	25.08	-7.144372241406694	123.575	C	Keck	1	1	b c n p q r
J101447+430030	3.1	1.4162	-9.04	5.6	5.6	-8.503435553533922	133.879	C	Keck	1	1	b c n o p q r
J101447+430030	3.1	2.9587	18.61	19.48	26.139535190970783	-8.503435553533922	133.879	C	Keck	2	0	d e g h l m s u
J105756+455553	4.12	3.3172	27.47	60.67	60.67	-8.161641368843608	131.14	C	Keck	1	1	d g l
J111038+483115	2.97	0.80757	12.15	12.21	12.21	-8.236146619610475	131.727	C	Keck	1	1	a b c p q
J111038+483115	2.97	0.86182	-20.24	16.36	16.36	-8.236146619610475	131.727	C	Keck	1	1	a b c q r
J111038+483115	2.97	1.0158	-20.98	9.37	9.37	-8.236146619610475	131.727	C	Keck	1	1	a b c p
J111113-080402	3.92	1.9746	2.86	23.26	23.26	-0.7272225544864553	83.7692	B2	Keck	1	0	b c n p r
J111113-080402	3.92	3.6061	-4.2	44.02	44.02	-0.7272225544864553	83.7692	B2	Keck	1	0	d g h l m
J113508+222715	2.88	2.1053	43.61	39.76	39.76	-4.695716003912819	107.493	C	Keck	1	0	d e f g l
J115129+382552	1.3	0.5533899999999999	-18.37	17.16	17.16	-6.5169670124383074	119.232	A	Keck	1	1	b c q r
J120523-074232	4.7	1.7549	-14.65	21.78	21.78	0.3146542224350826	77.5291	C	Keck	1	1	b c q r
J120858+454035	1.16	0.9274100000000001	-2.18	13.9	13.9	-7.12460898377911	123.435	C	Keck	1	1	b c n o p q r
J120858+454035	1.16	0.92742	-2.8	7.77	7.77	-7.12460898377911	123.435	A	Keck	1	1	a b c n o p q r
J121303+171423	2.54	0.69404	-19.2	39.16	39.16	-3.225855864139706	98.5723	B2	Keck	1	0	b c p q r
J121303+171423	2.54	0.8414200000000001	5.79	8.04	8.04	-3.225855864139706	98.5723	B2	Keck	1	0	b c n o p q r
J121303+171423	2.54	1.8918	-4.45	9.03	19.63022669252701	-3.225855864139706	98.5723	B2	Keck	2	0	e f g h i j k l m s t u v w
J121549-003432	2.69	1.3196	-7.25	7.61	7.61	-0.5210298477198496	82.5425	A	Keck	1	1	a b c n o p q r
J121549-003432	2.69	1.5541	-18.7	8.78	8.78	-0.5210298477198496	82.5425	A	Keck	1	1	b c n o p q r
J121732+330538	2.61	1.999	54.98	31.78	36.24601081498487	-5.400337564515673	111.915	B1	Keck	2	1	d e f g h i j l m t u v w
J122527+223512	2.05	0.66802	0.75	14.75	14.75	-3.7790209734015203	101.893	A	Keck	1	1	b c n p r
J122607+173649	2.94	2.4653	-13.06	16.56	16.56	-3.034521597300542	97.431	C	Keck	1	0	f g h i j k m s u v w
J122607+173649	2.92	2.4653099999999997	16.54	19.08	25.842819118664277	-3.034521597300542	97.431	B2	Keck	2	0	h i j k m s u v w
J122607+173649	2.94	2.5577	-2.53	35.03	35.03	-3.034521597300542	97.431	C	Keck	1	0	d e f g l
J122607+173649	2.92	2.5577099999999997	4.19	11.98	11.98	-3.034521597300542	97.431	B2	Keck	1	0	d g l n p
J122824+312837	2.22	1.7954	-12.95	10.5	10.5	-4.997171996611568	109.37	C	Keck	1	1	a b c n o p r
J122824+312837	2.22	1.79541	6.48	14.15	14.15	-4.997171996611568	109.37	A	Keck	1	1	d e f g h l
J124714+312641	2.95	0.8504799999999999	-69.0	70.23	70.23	-4.682795759749253	107.413	C	Keck	1	0	b c p r
J124714+312641	2.95	2.7504	24.85	47.88	47.88	-4.682795759749253	107.413	C	Keck	1	0	d g l
J125048+395139	1.03	0.7729199999999999	22.28	11.79	11.79	-5.795436689934485	114.454	A	Keck	1	1	b c n o p q r
J125048+395139	1.03	0.8545200000000001	-0.21	12.7	12.7	-5.795436689934485	114.454	A	Keck	1	1	b c n p q r
J125659+042734	1.02	0.5193399999999999	-33.65	32.56	32.56	-0.47709610611750985	82.2807	A	Keck	1	1	a b c q r
J125659+042734	1.02	0.9342600000000001	18.77	17.96	17.96	-0.47709610611750985	82.2807	A	Keck	1	1	b c n p q r
J131011+460124	2.13	0.22909000000000002	25.49	53.95	53.95	-6.349860603366002	118.107	C	Keck	1	0	a b c r
J131956+272808	1.01	0.66004	4.44	15.05	15.05	-3.5766407971939924	100.674	A	Keck	1	0	b c n p q r
J134002+110630	2.97	2.7955	41.09	94.98	94.98	-0.7343081358763592	83.8113	C	Keck	1	0	d h l
J142326+325220	1.91	0.84324	1.02	8.46	8.46	-3.526539592454333	100.373	A	Keck	1	1	b c n o p q r
J142326+325220	1.91	0.9030100000000001	-9.99	17.83	17.83	-3.526539592454333	100.373	A	Keck	1	1	b c n o p q r
J142326+325220	1.91	1.1726	-32.04	15.46	15.46	-3.526539592454333	100.373	A	Keck	1	1	b c n p r
J142656+602550	3.2	2.7698	-6.88	18.66	18.66	-7.455187877027783	125.808	C	Keck	1	1	d g l
J142656+602550	3.2	2.8268	3.19	9.29	9.29	-7.455187877027783	125.808	C	Keck	1	1	d g l
J143912+295448	3.0	1.2259	2.8	14.33	14.33	-2.8745891824447587	96.4793	C	Keck	1	0	a b c n o p q r
J144453+291905	2.76	2.4389	-9.39	17.12	17.12	-2.715399529787948	95.5338	C	Keck	1	1	d g l
J155152+191104	2.83	1.1425	-0.92	6.63	6.63	-0.4363751259831173	82.0379	C	Keck	1	0	c f n p q r
J155152+191104	2.83	1.3422	-8.53	11.69	11.69	-0.4363751259831173	82.0379	C	Keck	1	0	n o p q
J155152+191104	2.83	1.8024	-20.01	12.67	12.67	-0.4363751259831173	82.0379	C	Keck	1	0	d e f
J162645+642655	2.32	0.58596	-19.77	45.3	45.3	-7.456286196038862	125.816	C	Keck	1	1	b c r
J162645+642655	2.32	2.1102	-1.64	11.68	11.68	-7.456286196038862	125.816	C	Keck	1	1	d e f g l
J163429+703132	1.34	0.9901	-22.02	12.93	12.93	-8.238799545815553	131.748	C	Keck	1	1	a b c d n o p q r
J163429+703132	1.34	0.99011	11.56	23.99	23.99	-8.238799545815553	131.748	A	Keck	1	1	b c n p q r
J175746+753916	3.05	2.6253	-5.91	17.73	24.86277941019467	-8.85157511770545	136.805	B1	Keck	2	1	d g l m s t u
J175746+753916	3.05	2.62531	-7.51	13.88	22.281366654673587	-8.85157511770545	136.805	B1	Keck	2	0	e g h k l m s t u
J185230+401906	2.12	1.99	-15.62	8.99	19.611858657455187	-3.9842884617773118	103.135	C	Keck	2	1	g h i j k l m n o p q r v w
J194454+770552	3.02	1.7385	-1.94	18.61	18.61	-9.20801871907265	139.976	C	Keck	1	1	e f h i j m n t u
J214805+065738	1.0	0.7902600000000001	0.88	5.9	5.9	-1.0233181228814643	85.5259	C	Keck	1	1	b c n o p q r
J220852-194359	2.56	0.9484100000000001	-36.64	18.57	18.57	2.399563480908958	64.4764	B1	Keck	1	1	b c n p q r
J220852-194359	2.56	1.0172	-3.18	7.34	7.34	2.399563480908958	64.4764	B1	Keck	1	1	a b c n o p q r
J220852-194359	2.56	1.9204	13.99	7.03	18.79430232809933	2.399563480908958	64.4764	B1	Keck	2	1	d g h i j k l m s t u v w
J223235+024755	2.15	1.8585	-54.8	11.74	21.0150541279341	-1.2695009556196895	86.9832	B1	Keck	2	0	d g h j l n p s t u
J223235+024755	2.15	1.864	-10.12	4.92	18.11108224264911	-1.2695009556196895	86.9832	B1	Keck	2	0	g h i j k l m n o s t u v w
J223408+000001	3.02	1.2128	13.26	14.9	14.9	-0.8854213257847376	84.7084	C	Keck	1	1	a b c o p q r
J223408+000001	3.02	2.0653	-26.14	10.17	20.180034687779898	-0.8854213257847376	84.7084	C	Keck	2	1	g h j k l m t u v w
J223408+000001	3.02	2.0653099999999998	17.17	12.49	21.44306414671187	-0.8854213257847376	84.7084	B1	Keck	2	1	e f g h i j k l m s t u v w
J223408+000001	3.02	2.6532	-33.1	19.38	26.065097352590108	-0.8854213257847376	84.7084	C	Keck	2	0	d g l s t u
J223619+132620	3.3	2.548	10.15	61.86	61.86	-2.9243997902192356	96.7755	C	Keck	1	1	d g l
J223619+132620	3.3	2.5548	-18.51	65.72	65.72	-2.9243997902192356	96.7755	C	Keck	1	1	d e f g l
J223619+132620	3.3	3.1513	-41.11	34.41	34.41	-2.9243997902192356	96.7755	C	Keck	1	1	d g l
J234628+124859	2.52	0.73117	-12.11	9.76	9.76	-4.229987345535298	104.63	C	Keck	1	0	a b c o q r
J234628+124859	2.52	1.5899	4.49	11.63	11.63	-4.229987345535298	104.63	C	Keck	1	0	a c d e f g q r
J234628+124859	2.52	2.1711	-9.44	12.04	12.04	-4.229987345535298	104.63	C	Keck	1	0	c d e f n p
J234628+124859	2.52	2.43	-13.22	3.79	17.83729239542818	-4.229987345535298	104.63	C	Keck	2	0	d g i j k l n q r s t u v w
