J2000	z_emission	z_absorption	delta_alpha	error_delta_alpha	extra_error_delta_alpha	dipole_delta_alpha	dipole_angle	sample	source	sigflag	imrotator	transitions
J033108-252443	2.685	0.9925	5.13	12.32	15.286755705511881	-1.9335797642907016	90.9072	D	VLT	3	0	b1 b2 j4 j8
J033108-252443	2.685	2.4547	-21.22	54.96	55.700126570771815	-1.9335797642907016	90.9072	D	VLT	3	0	j1 e1
J033244-445557	2.6	2.4112	-10.0	7.93	12.03276360608817	1.227735483959365	71.9362	D	VLT	3	0	j1 j4 j6 j7 c1 e1 e2
J033244-445557	2.6	2.6563	10.79	16.89	19.161800541702757	1.227735483959365	71.9362	D	VLT	3	0	j1 j4 j5 j6 c1 e1
J040718-441013	3.0	2.4126	24.2	22.2	23.973787769144867	0.9176123704903966	73.8529	D	VLT	3	0	j5 j6 j8 c1 d1 d2
J040718-441013	3.0	2.5499	8.95	3.53	9.714082560900954	0.9176123704903966	73.8529	D	VLT	3	0	j1 j4 j6 c1 e1 e2 k1 k2
J040718-441013	3.0	2.5948	5.74	3.45	9.685298136867033	0.9176123704903966	73.8529	D	VLT	3	0	j1 j2 j5 j6 c1 d1 d2 e1 e2 h1 h2 h3 l2 k1 k2
J040718-441013	3.0	2.6214	42.64	27.44	28.893876513891314	0.9176123704903966	73.8529	D	VLT	3	0	j1 c1 e1
J042707-130253	2.1590000000000003	1.4080000000000001	-25.51	11.1	14.321749194843486	-4.333362750740003	105.262	D	VLT	3	0	b1 b2 j1 j4 j5 j6 j7 j8 c1
J042707-130253	2.1590000000000003	1.5632	-29.67	24.49	26.108669058379824	-4.333362750740003	105.262	D	VLT	3	0	j4 j6 j8 c1 e1
J042707-130253	2.1590000000000003	2.0351	80.57	38.3	39.35470111689326	-4.333362750740003	105.262	D	VLT	3	0	j1 c1 e2
J043037-485523	1.94	1.3556	-4.05	2.32	9.342638813525866	1.591150041955319	69.663	D	VLT	3	0	a2 j1 j2 j3 j4 j5 j6 j7 j8 c1 e1 e2 h1 h3 k1 k2 k3 i1 i2 i3
J044017-433308	2.863	1.4335	1.39	25.0	26.587638104953964	0.7032903506356263	75.1666	D	VLT	3	0	b1 b2 j4 j7 j8
J044017-433308	2.863	2.0482	14.0	8.64	12.512078164717483	0.7032903506356263	75.1666	D	VLT	3	0	j1 j2 j4 c1 e2 h1 h2 h3 l2 k1 k2 k3 i2 i3
J051707-441055	1.71	0.2223	12.62	37.03	38.11985571850974	0.7603105081169259	74.8179	D	VLT	3	0	a2 b1 b2 j8
J051707-441055	1.71	0.4291	-31.53	15.02	17.535760605117762	0.7603105081169259	74.8179	D	VLT	3	0	a2 b1 j4 j6 j7 j8
J053007-250329	2.813	2.1412	6.76	3.59	9.736046425526125	-2.4408799777222514	93.9067	D	VLT	3	0	b1 b2 j1 j2 j5 c1 h1 k1 k2 k3
J055246-363727	2.3169999999999997	1.2252	2.69	8.95	12.728118478392632	-0.44972254440723053	82.1175	D	VLT	3	0	a2 b1 b2 j4 j5 j6 j7 c1 e1
J055246-363727	2.3169999999999997	1.7475	-9.36	11.55	14.673275026387259	-0.44972254440723053	82.1175	D	VLT	3	0	a2 j1 j4 j5 j6 j7 j8 e1
J055246-363727	2.3169999999999997	1.9565	17.4	15.3	17.776177879398038	-0.44972254440723053	82.1175	D	VLT	3	0	j1 j4 j6 c1 d1 d2 e1
J064326-504112	3.09	2.6592	-15.3	19.2	21.22598643173033	2.009063386095506	67.0066	D	VLT	3	0	j4 j5 j6 c1 d1 d2 e2 l1 k1 k2
J091613+070224	2.7739999999999996	1.3324	82.33	59.15	59.838323840161166	-5.184780565924038	110.549	D	VLT	3	0	a2 b1 b2 j4 j6 j7 j8
J094253-110426	3.054	1.0595	3.72	7.37	11.671306696338675	-2.0113392583543868	91.3666	D	VLT	3	0	a2 b1 j4 j7 j8
J094253-110426	3.054	1.7891	-23.3	4.95	10.315279928339319	-2.0113392583543868	91.3666	D	VLT	3	0	b1 b2 j4 j5 j6
J103909-231326	3.13	1.4429	-19.8	27.2	28.666051349985402	0.8362993396488998	74.3523	D	VLT	3	0	b1 j7 j8
J103909-231326	3.13	2.7778	-11.3	6.6	11.20100441924741	0.8362993396488998	74.3523	D	VLT	3	0	j1 j2 j4 c1 h1 h2 h3 l2 k1 k2 k3
J103921-271916	2.23	0.8771	21.59	20.71	22.601030949936778	1.412612388684015	70.7837	D	VLT	3	0	a2 b2 j6 j8
J103921-271916	2.23	1.0093	-6.43	32.8	34.02561535079123	1.412612388684015	70.7837	D	VLT	3	0	b1 b2 j8
J103921-271916	2.23	1.9721	29.8	8.47	12.395297495421401	1.412612388684015	70.7837	D	VLT	3	0	j4 j5 j6 j7 c1 e1
J104032-272749	2.32	1.3861	4.46	6.93	11.398570085760758	1.4534896539766105	70.5278	D	VLT	3	0	a2 b1 b2 j3 j5 j6 j7 j8 e1 h1 h3 k1 k2 k3 i1 i2 g4 g5
J104032-272749	2.32	1.7761	2.62	13.2	16.004452505474845	1.4534896539766105	70.5278	D	VLT	3	0	b1 b2 j1 j4 j5 j6 c1 e1
J110325-264515	2.145	1.1868	-7.45	9.25	12.940826866935515	1.7720846374955121	68.5189	D	VLT	3	0	a2 b1 b2 j4 j5 j6 j7 j8
J110325-264515	2.145	1.2029	6.23	8.3	12.27975976963719	1.7720846374955121	68.5189	D	VLT	3	0	b1 b2 j4 j6 j7 j8
